backtest_date,model,series_index,series_name,window,base_date,retrained,forecast_start,forecast_end,mape,ape,actual_values,forecast_values,model_hyperparameters
20250322_1741,Prophet,30,series_00132,2,2018-12-01,True,2019-01-01,2019-03-01,0.186576,[0.282602 0.210933 0.066195],"[335.3724365234375, 358.7554931640625, 538.8729248046875]","[430.1493112032472, 434.4288377484213, 503.20249493302885]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,30,series_00132,3,2019-01-01,True,2019-02-01,2019-04-01,0.241314,[0.177422 0.084038 0.462482],"[358.7554931640625, 538.8729248046875, 401.58026123046875]","[422.40651558517374, 493.58688422753835, 587.3039345566417]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,30,series_00132,4,2019-02-01,True,2019-03-01,2019-05-01,0.184006,[0.091108 0.449723 0.011186],"[538.8729248046875, 401.58026123046875, 408.9277648925781]","[489.77706420909965, 582.1802749875679, 413.502183710225]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,30,series_00132,5,2019-03-01,True,2019-04-01,2019-06-01,0.254745,[0.442142 0.001806 0.320286],"[401.58026123046875, 408.9277648925781, 629.1546020507812]","[579.135750913063, 409.6664117305918, 830.664211190025]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,61,series_00008,0,2018-10-01,True,2018-11-01,2019-01-01,0.791305,[0.373915 1.       1.      ],"[106.87354278564453, 109.1941146850586, 112.82874298095703]","[66.91195956805629, 0.0, 0.0]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,61,series_00008,1,2018-11-01,True,2018-12-01,2019-02-01,1.0,[1. 1. 1.],"[109.1941146850586, 112.82874298095703, 130.8035888671875]","[0.0, 0.0, 0.0]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,61,series_00008,2,2018-12-01,True,2019-01-01,2019-03-01,1.0,[1. 1. 1.],"[112.82874298095703, 130.8035888671875, 142.6942138671875]","[0.0, 0.0, 0.0]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,61,series_00008,3,2019-01-01,True,2019-02-01,2019-04-01,1.0,[1. 1. 1.],"[130.8035888671875, 142.6942138671875, 132.97259521484375]","[0.0, 0.0, 0.0]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,61,series_00008,4,2019-02-01,True,2019-03-01,2019-05-01,0.807209,[1.       1.       0.421628],"[142.6942138671875, 132.97259521484375, 108.66486358642578]","[0.0, 0.0, 154.4809672005979]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,61,series_00008,5,2019-03-01,True,2019-04-01,2019-06-01,0.718439,[1.       0.505953 0.649365],"[132.97259521484375, 108.66486358642578, 119.3052749633789]","[0.0, 163.64417427599147, 41.83255473813341]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,66,series_00031,0,2018-10-01,True,2018-11-01,2019-01-01,0.599277,[0.650153 0.222487 0.925189],"[100.0, 206.1466064453125, 224.12342834472656]","[34.98466767541643, 252.01156215303723, 16.766866787249086]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,66,series_00031,1,2018-11-01,True,2018-12-01,2019-02-01,0.545817,[0.25727  0.873663 0.506517],"[206.1466064453125, 224.12342834472656, 109.95612335205078]","[259.1820166658127, 28.31498465274278, 54.261450201029405]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
